mmitzrach,mida,mishkal
132,402,18
132,600,250
132,700,1
132,2000,1000
134,300,40
134,301,12
134,302,44
134,400,11
134,401,4
134,402,18
134,700,1
134,900,250
134,2000,1000
137,700,1
137,1204,12.5
137,2000,1000
139,300,20
139,400,8
139,600,172
139,700,1
139,2000,1000
142,600,400
142,700,1
142,1204,25
142,2000,1000
146,200,240
146,700,1
146,1100,250
146,2000,1000
147,200,240
147,700,1
147,903,200
147,904,500
147,910,1000
147,1100,1000
147,1101,330
147,2000,1000
148,200,240
148,700,1
148,903,250
148,904,500
148,1101,250
148,2000,1000
149,200,240
149,700,1
149,903,225
149,904,500
149,1100,2000
149,1101,250
149,2000,1000
150,200,240
150,700,1
150,1102,500
150,2000,1000
152,200,240
152,700,1
152,904,1000
152,1100,250
152,2000,1000
153,200,240
153,700,1
153,904,1000
153,2000,1000
154,200,240
154,700,1
154,2000,1000
158,700,1
158,903,225
158,904,250
158,2000,1000
159,200,240
159,700,1
159,903,250
159,904,500
159,909,250
159,1100,1000
159,1103,2000
159,2000,1000
160,700,1
160,800,330
160,2000,1000
163,700,1
163,904,255
163,910,1000
163,2000,1000
164,700,1
164,904,500
164,909,250
164,910,950
164,2000,1000
165,700,1
165,1104,237
165,2000,1000
166,700,1
166,1104,237
166,2000,1000
167,700,1
167,1104,237
167,2000,1000
168,700,1
168,1104,237
168,2000,1000
169,700,1
169,1104,237
169,2000,1000
171,700,1
171,1104,237
171,2000,1000
172,700,1
172,1104,237
172,2000,1000
173,700,1
173,903,300
173,2000,1000
177,700,1
177,1104,250
177,2000,1000
179,700,1
179,2000,1000
180,700,1
180,2000,1000
183,700,1
183,1104,237
183,2000,1000
184,308,8.890000343322754
184,700,1
184,2000,1000
187,700,1
187,2000,1000
196,700,1
196,2000,1000
197,308,9
197,400,5
197,700,1
197,2000,1000
198,308,9
198,700,1
198,2000,1000
199,308,9
199,400,5
199,700,1
199,2000,1000
200,308,9
200,400,5
200,700,1
200,2000,1000
201,308,9
201,400,5
201,700,1
201,2000,1000
202,308,9
202,400,5
202,700,1
202,2000,1000
203,308,9
203,400,5
203,700,1
203,2000,1000
204,308,9
204,400,5
204,700,1
204,2000,1000
213,700,1
213,2000,1000
214,700,1
214,2000,1000
215,700,1
215,2000,1000
217,700,1
217,2000,1000
218,700,1
218,1104,100
218,2000,1000
219,700,1
219,1104,100
219,2000,1000
222,700,1
222,1104,100
222,2000,1000
227,700,1
227,2000,1000
228,308,8.5600004196167
228,700,1
228,2000,1000
230,308,9.5
230,700,1
230,2000,1000
233,700,1
233,1104,250
233,2000,1000
234,700,1
234,1104,250
234,2000,1000
235,700,1
235,1104,250
235,2000,1000
236,700,1
236,1104,250
236,2000,1000
237,200,128
237,700,1
237,2000,1000
238,400,1.299999952316284
238,700,1
238,2000,1000
240,300,8
240,700,1
240,2000,1000
241,300,8.399999618530273
241,400,2.599999904632568
241,402,5
241,700,1
241,903,1000
241,906,500
241,2000,1000
242,200,80
242,300,8
242,301,7
242,302,9
242,400,4
242,401,3
242,402,5
242,700,1
242,2000,1000
243,308,9
243,400,5
243,700,1
243,903,27
243,2000,1000
244,200,175
244,700,1
244,2000,1000
245,300,8
245,301,7
245,302,9
245,400,4
245,401,3
245,402,5
245,700,1
245,2000,1000
246,300,12
246,400,4
246,700,1
246,2000,1000
247,300,5
247,400,2
247,700,1
247,2000,1000
249,300,8
249,301,7
249,302,9
249,400,5
249,401,3
249,402,5
249,700,1
249,2000,1000
250,300,11
250,700,1
250,905,30
250,2000,1000
253,300,17
253,308,17
253,700,1
253,2000,1000
256,700,1
256,904,1000
256,2000,1000
257,700,1
257,900,700
257,2000,1000
258,700,1
258,2000,1000
259,700,1
259,900,500
259,2000,1000
268,300,14
268,700,1
268,904,250
268,2000,1000
269,300,14
269,400,6
269,700,1
269,904,250
269,2000,1000
270,300,15
270,400,5
270,700,1
270,2000,1000
271,300,14
271,400,6
271,700,1
271,904,250
271,2000,1000
278,200,242
278,700,1
278,2000,1000
279,300,14
279,700,1
279,904,220
279,2000,1000
280,300,6
280,301,4
280,400,2
280,700,1
280,903,3
280,2000,1000
281,400,5
281,700,1
281,905,3
281,906,300
281,2000,1000
282,300,14
282,600,250
282,700,1
282,904,150
282,2000,1000
284,300,18
284,400,8
284,600,200
284,700,1
284,2000,1000
285,300,18
285,400,8
285,600,200
285,602,125
285,604,250
285,700,1
285,906,500
285,2000,1000
286,300,18
286,600,200
286,700,1
286,2000,1000
287,600,400
287,700,1
287,1204,25
287,2000,1000
288,600,400
288,700,1
288,1204,25
288,2000,1000
290,301,14
290,302,28
290,401,6
290,402,10
290,700,1
290,1204,25
290,2000,1000
291,301,14
291,302,28
291,401,6
291,402,10
291,700,1
291,1204,25
291,2000,1000
292,301,14
292,302,28
292,401,6
292,402,10
292,700,1
292,1204,25
292,2000,1000
293,301,14
293,302,28
293,401,6
293,402,10
293,700,1
293,1204,25
293,2000,1000
294,301,14
294,302,28
294,401,6
294,402,10
294,700,1
294,1204,25
294,2000,1000
295,301,14
295,302,28
295,401,6
295,402,10
295,700,1
295,1204,25
295,2000,1000
301,301,14
301,302,28
301,401,6
301,402,10
301,700,1
301,1204,25
301,2000,1000
306,501,20
306,502,36
306,503,60
306,700,1
306,2000,1000
307,301,14
307,302,28
307,401,6
307,402,10
307,700,1
307,1204,25
307,2000,1000
309,100,10.5
309,700,1
309,2000,1000
311,100,55
311,700,1
311,900,600
311,2000,1000
312,100,70
312,700,1
312,900,520
312,2000,1000
314,301,14
314,302,28
314,401,6
314,402,10
314,700,1
314,1204,25
314,2000,1000
319,102,54
319,104,90
319,700,1
319,2000,1000
322,100,60
322,700,1
322,2000,1000
324,100,100
324,700,1
324,2000,1000
326,100,72
326,700,1
326,2000,1000
327,100,110
327,700,1
327,2000,1000
328,100,67
328,700,1
328,2000,1000
329,100,50
329,700,1
329,2000,1000
331,100,50
331,700,1
331,2000,1000
333,100,75
333,700,1
333,2000,1000
336,100,85
336,700,1
336,2000,1000
341,100,100
341,700,1
341,2000,1000
343,100,80
343,700,1
343,2000,1000
344,100,70
344,700,1
344,2000,1000
346,102,59
346,104,76
346,700,1
346,2000,1000
348,100,70
348,700,1
348,2000,1000
355,102,17
355,104,72
355,700,1
355,2000,1000
358,700,1
358,800,98
358,2000,1000
359,700,1
359,800,203
359,2000,1000
360,700,1
360,800,175
360,2000,1000
362,100,80
362,700,1
362,2000,1000
364,100,50
364,700,1
364,900,500
364,2000,1000
367,600,125
367,700,1
367,2000,1000
368,600,175
368,700,1
368,2000,1000
371,600,125
371,602,100
371,700,1
371,2000,1000
373,600,150
373,700,1
373,2000,1000
377,600,125
377,604,500
377,700,1
377,2000,1000
379,600,100
379,700,1
379,2000,1000
381,600,133
381,700,1
381,2000,1000
384,200,225
384,700,1
384,2000,1000
385,300,18
385,400,8
385,600,180
385,700,1
385,2000,1000
387,700,1
387,800,140
387,2000,1000
388,700,1
388,900,112
388,903,56
388,906,112
388,2000,1000
394,600,175
394,700,1
394,2000,1000
396,300,12
396,400,4
396,700,1
396,800,100
396,2000,1000
400,700,1
400,800,116
400,2000,1000
401,100,82
401,700,1
401,2000,1000
402,200,310
402,300,18
402,400,8
402,700,1
402,906,500
402,2000,1000
403,300,15
403,700,1
403,2000,1000
405,300,15
405,700,1
405,2000,1000
406,300,15
406,700,1
406,2000,1000
408,300,15
408,700,1
408,2000,1000
409,300,15
409,307,100
409,400,5
409,700,1
409,2000,1000
410,300,15
410,307,100
410,700,1
410,2000,1000
413,207,110
413,300,8
413,500,29
413,700,1
413,2000,1000
414,207,110
414,300,8
414,500,25
414,700,1
414,2000,1000
415,207,125
415,300,13
415,400,7
415,700,1
415,901,100
415,2000,1000
417,300,16
417,500,32
417,700,1
417,2000,1000
419,300,16
419,700,1
419,906,300
419,2000,1000
420,300,18
420,500,45
420,700,1
420,801,25
420,802,50
420,2000,1000
421,502,34
421,503,50
421,700,1
421,900,125
421,906,175
421,2000,1000
422,502,34
422,503,50
422,700,1
422,904,125
422,2000,1000
423,300,7
423,700,1
423,903,200
423,2000,1000
425,102,3
425,105,85
425,700,1
425,2000,1000
426,201,110
426,300,8
426,500,25
426,700,1
426,2000,1000
428,700,1
428,903,114
428,905,19
428,2000,1000
429,300,18
429,500,45
429,700,1
429,801,25
429,802,50
429,906,250
429,2000,1000
431,207,110
431,300,8
431,500,25
431,700,1
431,900,200
431,2000,1000
432,300,18
432,600,350
432,700,1
432,2000,1000
433,300,18
433,500,45
433,700,1
433,801,25
433,802,50
433,906,250
433,2000,1000
434,300,18
434,500,45
434,700,1
434,801,25
434,802,50
434,906,200
434,2000,1000
435,300,16
435,600,300
435,700,1
435,903,250
435,2000,1000
436,300,16
436,600,300
436,700,1
436,2000,1000
437,300,16
437,700,1
437,903,250
437,2000,1000
441,300,18
441,500,45
441,700,1
441,801,25
441,802,50
441,906,200
441,2000,1000
442,300,18
442,500,45
442,600,250
442,700,1
442,801,25
442,802,50
442,2000,1000
443,300,16
443,700,1
443,906,250
443,2000,1000
444,300,16
444,700,1
444,903,250
444,2000,1000
446,300,16
446,700,1
446,906,250
446,2000,1000
447,300,16
447,700,1
447,906,200
447,2000,1000
448,300,18
448,500,45
448,700,1
448,801,25
448,802,50
448,2000,1000
450,300,18
450,500,45
450,700,1
450,801,25
450,802,50
450,906,200
450,2000,1000
452,300,16
452,700,1
452,906,250
452,2000,1000
454,500,25
454,700,1
454,903,250
454,2000,1000
458,500,10
458,700,1
458,900,100
458,2000,1000
460,300,40
460,400,12
460,700,1
460,906,250
460,2000,1000
463,400,16
463,500,25
463,700,1
463,2000,1000
464,300,40
464,700,1
464,906,250
464,2000,1000
465,300,16
465,700,1
465,906,200
465,2000,1000
467,100,25
467,700,1
467,901,150
467,2000,1000
469,300,30
469,700,1
469,906,250
469,2000,1000
470,207,110
470,300,9
470,400,5
470,700,1
470,2000,1000
471,207,110
471,300,8
471,400,5
471,500,29
471,700,1
471,2000,1000
472,207,110
472,300,8
472,500,20
472,700,1
472,900,200
472,2000,1000
473,207,110
473,300,9
473,400,5
473,500,25
473,700,1
473,2000,1000
475,500,25
475,700,1
475,2000,1000
476,700,1
476,903,120
476,905,20
476,2000,1000
478,300,18
478,602,200
478,603,250
478,604,300
478,605,350
478,700,1
478,903,250
478,2000,1000
479,300,16
479,700,1
479,906,200
479,2000,1000
481,300,18
481,700,1
481,2000,1000
483,300,18
483,700,1
483,906,200
483,2000,1000
484,300,18
484,700,1
484,906,200
484,2000,1000
486,300,20
486,400,11
486,700,1
486,2000,1000
487,500,20
487,700,1
487,2000,1000
489,500,20
489,700,1
489,2000,1000
490,500,25
490,700,1
490,900,200
490,2000,1000
492,207,110
492,300,8
492,500,29
492,700,1
492,2000,1000
493,300,40
493,400,12
493,600,250
493,700,1
493,2000,1000
494,300,40
494,400,12
494,600,250
494,700,1
494,2000,1000
496,300,40
496,400,12
496,600,250
496,700,1
496,2000,1000
499,300,40
499,400,12
499,600,250
499,700,1
499,2000,1000
500,300,40
500,400,12
500,600,250
500,700,1
500,2000,1000
501,300,40
501,400,12
501,600,250
501,700,1
501,2000,1000
503,300,40
503,400,12
503,600,250
503,700,1
503,2000,1000
504,300,40
504,400,12
504,600,250
504,700,1
504,2000,1000
505,300,40
505,400,12
505,600,250
505,700,1
505,2000,1000
508,300,30
508,600,250
508,700,1
508,2000,1000
509,300,30
509,600,300
509,700,1
509,2000,1000
510,300,30
510,700,1
510,906,300
510,2000,1000
517,300,40
517,400,12
517,600,100
517,700,1
517,2000,1000
520,300,40
520,400,12
520,700,1
520,903,500
520,2000,1000
522,300,40
522,400,12
522,700,1
522,900,500
522,2000,1000
525,300,40
525,400,12
525,600,250
525,700,1
525,2000,1000
527,300,40
527,400,12
527,600,250
527,700,1
527,2000,1000
530,300,40
530,400,12
530,600,250
530,700,1
530,2000,1000
532,300,40
532,400,12
532,600,250
532,601,50
532,700,1
532,2000,1000
533,300,40
533,400,12
533,700,1
533,903,250
533,2000,1000
534,300,40
534,400,12
534,600,250
534,700,1
534,2000,1000
535,300,40
535,400,12
535,600,250
535,601,50
535,602,125
535,603,500
535,604,750
535,700,1
535,2000,1000
539,300,40
539,400,12
539,600,250
539,700,1
539,2000,1000
540,300,40
540,400,12
540,600,250
540,700,1
540,2000,1000
542,300,40
542,400,12
542,600,250
542,700,1
542,2000,1000
543,300,40
543,400,12
543,700,1
543,906,200
543,2000,1000
544,300,40
544,400,12
544,700,1
544,906,200
544,2000,1000
546,300,40
546,400,12
546,600,250
546,603,500
546,700,1
546,2000,1000
548,300,40
548,400,12
548,700,1
548,2000,1000
549,300,40
549,400,12
549,600,227
549,700,1
549,2000,1000
551,300,40
551,400,12
551,600,250
551,700,1
551,2000,1000
553,100,36
553,700,1
553,2000,1000
554,300,40
554,400,12
554,700,1
554,906,225
554,2000,1000
555,300,40
555,400,12
555,700,1
555,906,225
555,2000,1000
556,300,40
556,400,12
556,700,1
556,906,200
556,2000,1000
558,700,1
558,900,200
558,1206,25
558,2000,1000
560,700,1
560,1202,17.5
560,2000,1000
561,700,1
561,900,125
561,1206,15
561,2000,1000
562,700,1
562,900,120
562,1206,25
562,2000,1000
564,602,25
564,700,1
564,1206,25
564,2000,1000
572,500,25
572,700,1
572,900,200
572,2000,1000
576,500,33
576,700,1
576,2000,1000
577,300,7
577,600,150
577,700,1
577,2000,1000
578,500,33
578,700,1
578,2000,1000
579,100,180
579,500,30
579,700,1
579,2000,1000
580,500,34
580,700,1
580,2000,1000
581,500,35
581,700,1
581,2000,1000
582,500,35
582,700,1
582,2000,1000
583,700,1
583,801,100
583,802,150
583,803,300
583,2000,1000
584,102,30
584,103,60
584,104,75
584,700,1
584,2000,1000
585,103,80
585,700,1
585,2000,1000
586,100,50
586,700,1
586,2000,1000
588,700,1
588,2000,1000
589,700,1
589,2000,1000
590,700,1
590,2000,1000
591,700,1
591,2000,1000
592,700,1
592,2000,1000
593,700,1
593,900,600
593,2000,1000
594,700,1
594,900,500
594,2000,1000
595,700,1
595,900,800
595,2000,1000
596,700,1
596,900,800
596,2000,1000
598,700,1
598,2000,1000
599,700,1
599,2000,1000
600,700,1
600,2000,1000
603,700,1
603,2000,1000
605,700,1
605,2000,1000
607,700,1
607,2000,1000
608,700,1
608,2000,1000
609,102,110
609,103,150
609,104,226
609,700,1
609,2000,1000
610,102,110
610,103,150
610,104,226
610,700,1
610,2000,1000
611,102,110
611,103,150
611,104,226
611,700,1
611,2000,1000
612,700,1
612,2000,1000
613,102,120
613,103,165
613,104,248
613,700,1
613,2000,1000
614,102,110
614,103,150
614,104,226
614,700,1
614,2000,1000
615,102,110
615,103,150
615,104,226
615,700,1
615,2000,1000
616,102,110
616,103,150
616,104,226
616,700,1
616,2000,1000
618,102,108
618,103,120
618,104,152
618,700,1
618,2000,1000
619,102,108
619,103,120
619,104,152
619,700,1
619,2000,1000
620,102,108
620,103,120
620,104,152
620,700,1
620,2000,1000
621,700,1
621,2000,1000
622,700,1
622,2000,1000
623,501,23
623,502,45.5
623,700,1
623,2000,1000
624,501,23
624,502,45.5
624,700,1
624,2000,1000
625,501,23
625,502,45.5
625,700,1
625,2000,1000
626,501,23
626,502,45.5
626,700,1
626,2000,1000
627,700,1
627,801,79
627,802,175
627,803,239
627,2000,1000
628,501,23
628,502,45.5
628,700,1
628,2000,1000
629,700,1
629,801,79
629,802,175
629,803,239
629,2000,1000
631,700,1
631,2000,1000
632,700,1
632,2000,1000
634,700,1
634,2000,1000
636,700,1
636,801,79
636,802,175
636,803,239
636,2000,1000
637,700,1
637,2000,1000
638,700,1
638,801,79
638,802,175
638,803,239
638,2000,1000
639,700,1
639,801,93
639,802,222
639,803,416
639,2000,1000
640,700,1
640,801,93
640,802,222
640,803,416
640,2000,1000
642,700,1
642,801,79
642,802,175
642,803,239
642,2000,1000
643,700,1
643,801,79
643,802,175
643,803,239
643,2000,1000
645,700,1
645,801,79
645,802,175
645,803,239
645,2000,1000
647,700,1
647,801,79
647,802,175
647,803,239
647,2000,1000
648,300,25
648,700,1
648,2000,1000
649,500,16
649,700,1
649,2000,1000
650,700,1
650,2000,1000
651,700,1
651,801,79
651,802,175
651,803,239
651,2000,1000
653,500,16
653,700,1
653,2000,1000
655,700,1
655,2000,1000
661,100,55
661,700,1
661,900,500
661,2000,1000
662,102,25
662,104,55
662,700,1
662,900,500
662,2000,1000
663,100,44.40000152587891
663,700,1
663,2000,1000
667,102,54
667,104,113
667,700,1
667,2000,1000
669,300,25
669,700,1
669,2000,1000
670,100,35
670,700,1
670,2000,1000
672,101,26.5
672,102,40
672,103,80
672,104,120
672,700,1
672,2000,1000
673,101,26.5
673,102,40
673,103,80
673,104,120
673,700,1
673,2000,1000
675,102,30
675,103,60
675,104,87
675,700,1
675,2000,1000
678,700,1
678,2000,1000
680,300,25
680,700,1
680,2000,1000
681,500,22
681,700,1
681,2000,1000
683,500,12
683,700,1
683,2000,1000
684,700,1
684,801,150
684,802,250
684,803,350
684,2000,1000
685,700,1
685,801,150
685,802,250
685,803,350
685,2000,1000
686,700,1
686,801,150
686,802,250
686,803,350
686,2000,1000
687,700,1
687,801,150
687,802,250
687,803,350
687,2000,1000
688,700,1
688,801,150
688,802,250
688,803,350
688,2000,1000
689,700,1
689,801,150
689,802,250
689,803,350
689,2000,1000
690,700,1
690,801,150
690,802,250
690,803,350
690,2000,1000
691,700,1
691,801,150
691,802,250
691,803,350
691,2000,1000
693,700,1
693,801,150
693,802,250
693,803,350
693,2000,1000
695,700,1
695,801,79
695,802,175
695,803,239
695,2000,1000
696,700,1
696,801,79
696,802,175
696,803,239
696,2000,1000
697,205,134
697,700,1
697,2000,1000
698,205,134
698,502,87
698,700,1
698,2000,1000
699,205,134
699,502,68
699,700,1
699,2000,1000
700,102,84
700,103,214
700,104,333
700,700,1
700,2000,1000
701,102,84
701,103,214
701,104,333
701,700,1
701,2000,1000
702,502,42
702,700,1
702,2000,1000
703,502,42
703,700,1
703,2000,1000
704,502,42
704,700,1
704,2000,1000
705,502,42
705,700,1
705,2000,1000
706,700,1
706,2000,1000
707,500,2.5
707,700,1
707,2000,1000
708,700,1
708,2000,1000
709,700,1
709,801,79
709,802,175
709,803,239
709,2000,1000
710,101,108
710,102,120
710,103,152
710,104,182
710,105,198
710,700,1
710,2000,1000
711,101,108
711,102,120
711,103,152
711,104,182
711,105,198
711,700,1
711,2000,1000
712,101,108
712,102,120
712,103,152
712,104,182
712,105,198
712,700,1
712,2000,1000
713,101,108
713,102,120
713,103,152
713,104,182
713,105,198
713,700,1
713,2000,1000
715,700,1
715,801,79
715,802,175
715,803,239
715,2000,1000
716,300,26
716,700,1
716,801,79
716,802,175
716,803,239
716,2000,1000
717,700,1
717,801,79
717,802,175
717,803,239
717,2000,1000
718,300,25
718,700,1
718,801,79
718,802,175
718,803,239
718,2000,1000
719,700,1
719,801,79
719,802,175
719,803,239
719,2000,1000
720,300,25
720,700,1
720,801,79
720,802,175
720,803,239
720,2000,1000
721,700,1
721,801,79
721,802,175
721,803,239
721,2000,1000
722,300,25
722,700,1
722,801,79
722,802,175
722,803,239
722,2000,1000
723,300,25
723,700,1
723,801,79
723,802,175
723,803,239
723,2000,1000
724,300,25
724,700,1
724,801,79
724,802,175
724,803,239
724,2000,1000
725,700,1
725,801,79
725,802,175
725,803,239
725,2000,1000
726,700,1
726,801,79
726,802,175
726,803,239
726,2000,1000
727,300,25
727,700,1
727,801,79
727,802,175
727,803,239
727,2000,1000
728,700,1
728,1003,360
728,2000,1000
729,300,25
729,700,1
729,2000,1000
730,102,54
730,104,113
730,700,1
730,2000,1000
731,700,1
731,2000,1000
733,102,30
733,103,60
733,104,87
733,700,1
733,2000,1000
734,101,26.5
734,102,40
734,103,80
734,104,120
734,700,1
734,2000,1000
735,101,26.5
735,102,40
735,103,80
735,104,120
735,700,1
735,2000,1000
736,700,1
736,801,93
736,802,222
736,803,416
736,2000,1000
738,700,1
738,801,93
738,802,222
738,803,416
738,2000,1000
740,700,1
740,801,93
740,802,222
740,803,416
740,2000,1000
741,700,1
741,801,93
741,802,222
741,803,416
741,2000,1000
742,700,1
742,801,93
742,802,222
742,803,416
742,2000,1000
743,102,30
743,103,60
743,104,87
743,700,1
743,2000,1000
746,700,1
746,801,79
746,802,175
746,803,239
746,2000,1000
747,700,1
747,801,79
747,802,175
747,803,239
747,2000,1000
748,700,1
748,2000,1000
749,700,1
749,801,93
749,802,222
749,803,416
749,2000,1000
750,700,1
750,2000,1000
751,700,1
751,801,93
751,802,222
751,803,416
751,2000,1000
753,700,1
753,2000,1000
754,700,1
754,801,93
754,802,222
754,803,416
754,2000,1000
755,700,1
755,2000,1000
756,102,54
756,104,113
756,700,1
756,2000,1000
757,700,1
757,2000,1000
758,102,30
758,103,60
758,104,87
758,700,1
758,2000,1000
760,101,26.5
760,102,40
760,103,80
760,104,120
760,700,1
760,2000,1000
761,700,1
761,2000,1000
762,102,30
762,103,60
762,104,87
762,700,1
762,2000,1000
763,700,1
763,801,93
763,802,222
763,803,416
763,2000,1000
765,300,25
765,700,1
765,900,800
765,2000,1000
766,700,1
766,801,93
766,802,222
766,803,416
766,2000,1000
767,700,1
767,801,93
767,802,222
767,803,416
767,900,800
767,2000,1000
768,700,1
768,801,93
768,802,222
768,803,416
768,2000,1000
770,102,30
770,103,60
770,104,87
770,700,1
770,2000,1000
772,102,84
772,103,214
772,104,333
772,700,1
772,2000,1000
773,102,84
773,103,214
773,104,333
773,700,1
773,2000,1000
774,700,1
774,801,84
774,802,214
774,803,333
774,2000,1000
776,102,84
776,103,214
776,104,333
776,700,1
776,2000,1000
777,102,84
777,103,214
777,104,333
777,700,1
777,2000,1000
778,102,84
778,103,214
778,104,333
778,700,1
778,2000,1000
779,102,84
779,103,214
779,104,333
779,700,1
779,2000,1000
780,700,1
780,801,93
780,802,222
780,803,416
780,2000,1000
781,700,1
781,801,93
781,802,222
781,803,416
781,2000,1000
782,300,25
782,700,1
782,2000,1000
784,700,1
784,800,299
784,2000,1000
785,700,1
785,801,18
785,2000,1000
786,205,140
786,700,1
786,801,85
786,803,202
786,2000,1000
787,700,1
787,801,55
787,802,69
787,803,129
787,2000,1000
788,700,1
788,801,48
788,802,57
788,803,110
788,2000,1000
793,700,1
793,2000,1000
794,700,1
794,2000,1000
795,700,1
795,801,78
795,802,100
795,803,168
795,2000,1000
796,700,1
796,2000,1000
798,700,1
798,801,40
798,802,68
798,803,110
798,2000,1000
799,102,64
799,104,164
799,700,1
799,2000,1000
800,100,6.099999904632568
800,700,1
800,2000,1000
801,102,70
801,104,180
801,700,1
801,2000,1000
802,102,20
802,103,84
802,104,120
802,700,1
802,2000,1000
803,700,1
803,906,420
803,2000,1000
804,102,70
804,104,180
804,700,1
804,2000,1000
805,102,64
805,104,164
805,700,1
805,2000,1000
806,102,70
806,104,180
806,700,1
806,2000,1000
807,102,64
807,104,164
807,700,1
807,2000,1000
809,102,64
809,104,164
809,700,1
809,2000,1000
811,102,64
811,104,164
811,700,1
811,2000,1000
812,103,92
812,104,143
812,700,1
812,2000,1000
813,700,1
813,801,93
813,802,222
813,803,416
813,2000,1000
815,102,100
815,103,146
815,104,230
815,700,1
815,2000,1000
816,102,100
816,103,146
816,104,230
816,700,1
816,2000,1000
817,102,100
817,103,146
817,104,230
817,700,1
817,2000,1000
818,102,100
818,103,146
818,104,230
